UDID,HowTo_Name,Step_Name,Step_Description
D1010,,Assess Infringement and Identify Infringer,"Whether the other party's conduct amounts to infringement, having regard towhat infringement looks like, to avoid making unjustified threats. For registered IP, it's worth considering the 'scope of protection' of your registered claim. For trade marks, this includes the goods or services attached to your registration, and whether the other party is offering similar goods and services. For patents, it includes whether the product or process contains all the essential features of a claim in a granted patent. For copyright, you could consider whether any exceptions or statutory licence under copyright law may apply that could have enabled the use of the material in question without your permission. For more information about copyright exceptions, seeCopyright infringement | IP Australia First Response.
The identity and contact details of the suspected infringer. It's important to send the letter to the correct party. You might wish to consider sending correspondence by registered mail, and keeping records to show that a letter was sent to a specific address on a particular date. If you are not sure about any of the above, then you should speak to an IP professional for help.
Before taking this action, it might also be helpful to consider your goals and potential outcomes, including:"
D1010,,Explore informal contact options,Whether there any other less confrontational and more informal ways to contact the other party before sending out the letter.
D1010,,Identify Mutual Benefits,Options for outcomes that would benefit or be agreeable to everyone involved.
D1010,,Assess Willingness for Further Engagement,"Whether you will be prepared to be engaged in further correspondence, negotiation or even disputes with the other party. If you threaten to do something and do not follow through, it could be found to be an unjustified threat."
B1012,,Gather Information,"Before you engage in a conversation with the other party, consider gathering:"
B1012,,Provide cease-and-desist documentation,"A copy of the cease-and-desist letter or the request, including deadlines and requested actions."
B1012,,Provide Development Timeline Evidence,"Evidence of your product, branding or content development timeline and any prior rights you may hold."
B1012,,Verify IP Ownership and Claims,"Documents relating to the relevant IP right's scope (for registered IP rights, this would include registration details, jurisdiction, goods or services) and the other party's claims to this IP right. For instance, you may want to check if the other party is the rightful owner of the IP that you allegedly infringed."
B1012,,Provide contact details,Contact details for the rights holder or their representative to open dialogue.
B1012,,Draft a confidentiality agreement,"A confidentiality agreement template to protect commercial information during negotiations.
If you cannot reach an agreement through direct negotiations, you may consider engaging in alternative dispute resolution (ADR). This can involve processes such as mediation or arbitration, where experienced third party facilitators will assist parties to resolve a dispute:"
B1012,,Explore Alternative Dispute Resolution,Learn more about alternative dispute resolution
B1012,,End the sentence,.
D1006,,Select the Right Mediator,"Before you engage in mediation, you should think about whether mediation is a suitable dispute resolution method for your situation and what kind of mediator would suit your needs best.
How do I choose the right mediator?
It can be helpful to consider these questions when selecting a mediator to help ensure they are right for you:"
D1006,,Choose Mediation Role,"Would the parties like the mediator to provide a neutral evaluation of their dispute, or act as a facilitator of their negotiations?"
D1006,,Specify Mediator Qualifications,What are the desirable professional qualifications and specialist experience of the mediator?
D1006,,Evaluate Mediator Expertise,"Is it more important for the mediator to have experience in the subject matter of the dispute, or the process of mediation itself?"
D1006,,Determine Mediator Requirements,"Is more than one mediator required? For example, do the parties come from different cultural and linguistic backgrounds? Or would it be beneficial to have both a technical expert and a mediation specialist as co-mediators?"
D1006,,Identify Mediation Providers,"Does a conflict of interest exist?
There is a wide range of mediation providers, ranging from government and public-funded bodies to private practitioners. Here's a list of directories and mediation providers that may assist you in finding a mediator you would like to engage:"
D1006,,Access the Directory,The Resolution Institute's Dispute Resolver Directory list
D1006,,Access Dispute Resolution Resources,"The Australian Small Business and Family Enterprise Ombudsman (ASBFEO)provides small business and family enterprises with information about dispute resolution options, access to mediation and alternative dispute resolution processes."
D1006,,Explore WIPO ADR Options,"The World Intellectual Property Organization's (WIPO) Arbitration and Mediation Centeroffers mediation, arbitration and expert determination to enable private parties to settle their international commercial disputes. For more information, seeWIPO ADR Options."
D1006,,Visit the Australian Centre for International Commercial Arbitration,theAustralian Centre for International Commercial Arbitration
D1006,,Review the Standards,theMediator Standards Board
D1006,,Contact Small Business Commissions for Mediation,"theAustralian Disputes Centre
The Small Business Commissions in most states and territories can also assist with resolving business related disputes. They offer a variety of services to assist small business including low-cost mediation services."
D1006,,Contact the Commission,Victorian Small Business Commission
D1006,,Contact the Commissioner,New South Wales Small Business Commissioner
D1006,,Contact the Commissioner,South Australian Small Business Commissioner
D1006,,Develop Your Small Business in Western Australia,Western Australia Small Business Development Corporation
D1006,,Consult Specialist Dispute Resolution Services,"Queensland Small Business Commissioner
For some types of disputes related to copyright or licensing, there may be specialist dispute resolution services available. For example:"
D1006,,Access Arts Law ADR Services,the Arts Law Centre of Australiahas access to a panel of mediators and experts who can provide low-cost ADR services to artists and arts organisations who subscribe to Arts Law.
D1006,,Seek ADR Guidance,"Resolution Pathwaysis a service available to music creators and music users disputing their interactions with, APRA AMCOS and/or OneMusic Australia, as well as, in limited circumstances, disputes between music creators.
You can also seek help from IP professionals to obtain advice on whether ADR would be suitable for your situation and represent you throughout an ADR process. You can find a qualified IP attorney to assist you at:"
D1006,,Locate an IP Attorney,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board
D1006,,End process,.
D1022,,Contact WIPO for Procedural Assistance,"WIPO procedural assistance
To receive information and procedural assistance from the WIPO Center, you can contact 

 

arbiter.mail@wipo.int

 or file a Request for 

Good Offices

 using the 

WIPO Good Office

 Services
If you are facing a dispute related to intellectual property, innovation, or technology, you can book a free online Orientation Session with the 

WIPO Arbitration and Mediation Center

 for assistance at: 

How can WIPO assist in resolving intellectual property disputes?
Unilateral request for mediation
If parties are already facing a dispute, and in the absence of a mediation agreement (for example in infringement disputes or in cases pending before the courts), a party may submit 

a unilateral request for mediation

 to the WIPO Center, by e-mail to 

arbiter.mail@wipo.int

 or through the IP Portal.
The WIPO Center provides complimentary procedural assistance and ADR options at reduced fees for 

SMEs

. Interested SMEs should contact the WIPO Center on (+65) 6225 2129 (Singapore), +4122 338 82 47 (Geneva) or 

arbiter.mail@wipo.int

 for further information.
Getting advice
You can also seek help from IP professionals to seek advice on whether the WIPO Center would be suitable for your situation and represent you throughout their ADR processes. You can find a qualified IP attorney to assist you at

: 

Find an IP attorney or firm | Trans-Tasman IP Attorneys Board

."
B1001,,Evaluate the Situation,"This will depend on what you decide to do.

To evaluate the situation before deciding, it is recommended that you carefully consider:"
B1001,,Address Allegations of Infringement,the allegations of infringement that have been made against you
B1001,,Evaluate infringement allegations,whether the allegations of infringement have merit
B1001,,Identify Relevant IP Rights,what relevant IP rights you might have
B1001,,Identify Demands and Set Reply Timeline,what demands the other party has made and when they might expect a reply
B1001,,Consult IP Legal Expert,whether to seek advice from an IP lawyer or IP attorney.
D1011,,Explore IP First Response Resources,"Review IP First Response resources to understand all your enforcement options, even if you're not using them now. This helps you make an informed choice about waiting and know what tools are available if you change your mind later."
D1011,,Define Enforcement Action Triggers,Develop a clear strategy for when youwilltake future enforcement action. Your plan can outline specific triggers that will prompt you to act. These might be when the infringer:Grows beyond a certain size. Starts competing in your geographic area or digital space. Has been infringing for a set period. Crosses other meaningful boundaries for your business.
D1011,,Assess Costs and Timeline,Calculate the potential costs and timeline for different enforcement actions. This helps you budget and prepare for if you do decide to move forward.
D1011,,Consult an IP Professional,Identify which type of IP professional you would consult if you choose to act. Consider having initial conversations to understand their services and approach.
D1011,,Document the Infringement,"Keep documentation of the infringement, including dates and evidence, to maintain a strong foundation if you choose to take action in the future."
B1014,,Verify and Evaluate Claims,It's important to get all the factual details right and evaluate the merits of the claims before you respond to the other party. Here are some things you might want to check and consider before talking to the other party:
B1014,,Verify IP Status and Registration,"The status and details of the relevant IP in the jurisdiction where the alleged infringement occurred. This includes checking the status of your IP registrations, and whether the accuser has registered IP rights with IP Australia or overseas IP offices."
B1014,,Verify Party Identity,"The identity and contact details of the other party - it's important to make sure you speak to the correct party.
Throughout the negotiation with the other party, it can be helpful to remember to:"
B1014,,Maintain Professional Composure,"Stay calm and professional throughout the conversation, avoiding emotional, accusatory language."
B1014,,Prioritize Issues Over Personalities,"Focus on the issues at hand, not the personalities of the other parties involved."
B1014,,Recognize Misunderstandings,"Acknowledge that problems are often caused by misunderstanding or oversight, and that a mutually beneficial outcome can be reached."
B1014,,Document Agreement Details,"Be clear on the terms of agreement you may reach with the other party, writing down the agreement in detail at the end of the conversation.
It can be difficult to determine whether you will be able to leverage a commercially meaningful outcome from the IP dispute you are facing and if you can have a productive, amicable discussion with the other party. An IP professional can help you make this assessment and advise which steps might work best in your situation."
D1016,,Review Trademark Opposition Information,"Read all the information relating totrade mark oppositionandthe formsrequired in the opposition process on the IP Australia website. You can find more specific, technical information on the trade mark opposition process in the relevant parts ofTrade Marks Manual of Practice and Procedure."
D1016,,Monitor ATMS for Conflicting Trade Marks,"Monitor theAustralian Trade Mark Search (ATMS)and spot conflicting trade marks within two months of advertisement. You may consider engaging an IP professional who undertakes trade mark monitoring or watching services if you need assistance in this process. For more information on this, see IP First Response's page on Monitoring Competitors' IP."
D1016,,Collect Trademark Evidence,"Gather evidence demonstrating your earlier trade mark use, registration or other legal basis."
D1016,,Submit Opposition Forms Online,Complete and submit online forms: notice of intention to oppose and Statement of Grounds and Particulars.
D1016,,Allocate Fees Budget,Budget for official and professional fees.
D1016,,Retain Documentation,"Keep copies of all filings, correspondence and evidence."
Dxxxx,,Evaluate IP Infringement Claims,"Understanding what constitutes IP infringement, and possible consequences of contacting a suspected infringer, can help you decide if this is the right option for you.
It's important to get all the factual details right and evaluate the merits of your claims before you send out a letter of demand, to give yourself the best chance of success. 

Making unjustified claims of IP infringement can have serious consequences. If you are found to have made an unjustified threat, you might be liable to pay damages/compensate the other party or you may be ordered to stop making the threat.
Here are some things you might wish to check and consider before sending a letter of demand and you should consider engaging an IP lawyer or IP attorney to work through these issues with you:"
Dxxxx,,Check IP Status and Registration,"The status and details of the relevant IP in the jurisdiction where infringement occurred. For registered rights, this includes checking the status of your IP registrations, and whether the alleged infringer has registered IP rights with IP Australia or overseas IP offices. For copyright, this might include checking any rules around registration in that other jurisdiction - while there is no copyright registration requirement or system in Australia, this is not the case everywhere."
Dxxxx,,Assess Infringement and Identify Infringer,"Whether the other party's conduct amounts to infringement, having regard towhat infringement looks like, to avoid making unjustified threats. For registered IP, it's worth considering the 'scope of protection' of your registered claim. For trade marks, this includes the goods or services attached to your registration, and whether the other party is offering similar goods and services. For patents, it includes whether the product or process contains all the essential features of a claim in a granted patent. For copyright, you could consider whether any exceptions or statutory licence under copyright law may apply that could have enabled the use of the material in question without your permission. For more information about copyright exceptions, seeCopyright infringement | IP Australia First Response.
The identity and contact details of the suspected infringer. It's important to send the letter to the correct party. You might wish to consider sending correspondence by registered mail, and keeping records to show that a letter was sent to a specific address on a particular date. If you are not sure about any of the above, then you should speak to an IP professional for help.
Before taking this action, it might also be helpful to consider your goals and potential outcomes, including:"
Dxxxx,,Explore Informal Contact Options,Whether there any other less confrontational and more informal ways to contact the other party before sending out the letter.
Dxxxx,,Identify Mutually Beneficial Outcomes,Options for outcomes that would benefit or be agreeable to everyone involved.
Dxxxx,,Prepare for Potential Engagement,"Whether you will be prepared to be engaged in further correspondence, negotiation or even disputes with the other party. If you threaten to do something and do not follow through, it could be found to be an unjustified threat."
C1004,,Present Your Trademark,"A clear, preferred presentation of your trade mark whether that is word, image, combination of word and image, or a non-traditional sign such as shape, sound, scent and colour."
C1004,,Define Trademark Design Rules,"Basic rules covering the use of colours, fonts, size and placement of key elements in your trade mark."
C1004,,Conduct Public Use Checks,Routine checks of public use and finding inconsistencies.
C1004,,Collect dated examples,"Records of dated examples (screenshots, packaging, adverts) showing correct use."
B1000,,Review Letter Deadlines,Read the letter in full and note any deadlines.
B1000,,Identify IP Right Details,"Identify the IP right mentioned (registration number, jurisdiction)."
B1000,,Collect Evidence and Timeline,"Gather your own evidence about your product, brand or content and its development timeline."
B1000,,Consult an IP Legal Expert,Decide whether to seek advice from an IP lawyer or IP attorney.
B1000,,Document Everything,"Keep copies of all correspondence, screenshots, invoices and other relevant documents."
D1012,,Prepare Before Meeting,"Do your homework before you meet

Your time is important and an expert's time can be expensive, so it's useful to prepare before you meet with IP lawyers or IP attorneys. Consider:"
D1012,,Understand Your IP Type,Learning more about IPand your specific IP type. Having some basic knowledge will help you to better understand the professional's advice and recommendations.
D1012,,Conduct Market and IP Research,"Researching what your suspected infringers or competitors are doing in the market (including where they might be based and whether they have registered any IP rights) and being ready to share the results. This will help your IP lawyer or IP attorney to provide you with advice.
Finding an IP lawyer or IP attorney"
D1012,,Search for an attorney,"To find a registered Australian trade mark or patent attorney, you can search the"
D1012,,Locate an IP Attorney,"Trans-Tasman IP Attorneys Board directory: Find an IP attorney or firm | Trans-Tasman IP Attorneys Board.
To find an IP lawyer, you can contact the Law Society in your state or territory:"
D1012,,Identify the Organization,The Law Society of NSW
D1012,,Visit the Law Institute Victoria,Law Institute Victoria
D1012,,Consult the Queensland Law Society,Queensland Law Society
D1012,,Identify the Organization,The Law Society of Western Australia
D1012,,Consult the Law Society,The Law Society of South Australia
D1012,,Identify the Organization,The Law Society of Tasmania
D1012,,Identify the Organization,The Law Society of the ACT
D1012,,Visit the Arts Law Centre of Australia website,"Law Society Northern Territory
The Arts Law Centre of Australia's website"
D1012,,Consult a National Referral Panel,"indicates that it maintains a national referral panel of arts and entertainment lawyers to which it may refer eligible copyright owners where appropriate.
Tips for choosing an IP lawyer or IP attorney"
D1012,,Select an IP Lawyer,Here are some suggestions for choosing an IP lawyer or IP attorney for your IP:
D1012,,Seek Peer Recommendations,Ask for recommendations from other business owners or members of your industry association.
D1012,,Inquire About Cost and Duration,Ask how much you'll be charged and how long the service will take.
D1012,,Verify Attorney's IP Specialization,Don't assume that all lawyers or IP attorneys specialise in the type of IP that you have.
D1012,,Evaluate Trust and Consult an IP Lawyer,"Try to determine if you can establish a trusting relationship. If you don't feel comfortable sharing relevant information, it could be difficult for an adviser to work in your best interests.
If you think you may need to go to court to enforce your IP rights, speak to an IP lawyer."
D1024,,File a Domain Dispute Complaint,"This will vary based on the relevant dispute resolution policy and the provider used. The below is relevant for most DRPs when disputed at WIPO.
To read and understand the steps to file a complaint as described on the WIPO website at 

Domain Name Disputes

, and of the relevant 

UDRP

, 

UDRP Rules

, and 

WIPO Supplemental Rules

.
A written complaint. You can download WIPO's 

Model Complaint

 form or write your own based on Paragraph 3 of the 

UDRP Rules

. 

 

The 

WIPO website

 and the UDRP 

provide guidance

 on what evidence can be used to meet/prove these criteria. This should be attached with your complaint.
To check whether the registrant has a valid trade mark registration overseas (which might indicate that they have a legitimate interest in the domain name), read about searching trade mark registrations internationally 

here

.
Also note:"
D1024,,Consolidate Complaints,"If your complaint involves multiple domain names, you should learn about 'consolidation' of complaints and complete the WIPO UDRP consolidation worksheet. SeeWIPO Overview 3.0,section 4.11."
D1024,,Verify Domain Expiration Status,Check the domain name status in case it's expiring during the dispute. For more information seeQ&A: domain name expiration and the UDRP.
C1012,,Consult the QPs Directory,Check theQualified Persons Directoryfor consultant QPs.
C1012,,Draft the agreement,"Written agreement covering the QP's scope, fees and timelines."
C1012,,Establish trial site and plan,"Trial site, reference varieties and data-collection plan that meets PBR guidelines."
C1012,,Complete QP Application Requirements,"(optional) To become a QP: up-to-date résumé, three referees, completed online training and accreditation fee. More information can be found here:How to become a Qualified Person."
C1012,,Archive trial documentation,"Keep copies of all trial data, photographs and correspondence."
D1040,,Provide IP Right Proof,Proof of your IP right (registration certificate or other documentation).
D1040,,Provide Evidence of Infringement,"Clear examples of the suspected 'infringing' product (photos, samples, purchase receipt)."
D1040,,Provide intermediary contact details,Contact details for the intermediary.
D1040,,Draft a Request Letter,"A concise letter that explains your rights and the action you are requesting, and attaches the relevant evidence."
D1040,,Keep Copies of All Correspondence and Evidence,It is generally considered a good practice to keep copies of all correspondence and evidence.
C1011,,Describe Your Offering,"A clear description of your product, process or innovation."
C1011,,Understand Patent Basics,Basic knowledge of what a patent is and what it protects.
C1011,,Access Patent Databases,"Access to patent databases such asAusPat,EspacenetorThe Lens."
C1011,,Consult a Patent Attorney,Optional: A qualified patent attorney to perform a professional search and interpret results.
C1011,,Choose Search Scope,A decision on whether you want to search only in Australia or also internationally.
D1018,,Evaluate Legal Considerations,"Here are some things you might consider before you proceed with legal action in a

 

patent matter.
Find an IP lawyer for advice and representation

Court proceedings can be an expensive, time-consuming, stressful, complicated process that can have a serious impact on you and your business. It is recommended that you seek legal advice before deciding whether to start a legal claim and to assist you if you decide to make one.
Consider your goals before deciding to start a legal claim

Going to court is usually a last resort. You should carefully consider what you are seeking to achieve and whether bringing a legal claim is your best option. An IP lawyer can help you to consider your best option to achieve your goals and give you advice on likely outcomes.
Consider the impact of publicity

Court proceedings are usually public. You should consider what impact this may have on your business. Unless they're covered by a confidentiality order, evidence and documents used in court will also become available to the public and no longer be confidential.
Gather all your documents

Before seeking legal advice, it can be helpful to collect any documents like reports, contracts, licences or correspondence that you think might be relevant to your claim. You can give these to your lawyer to review."
B1009,,Evaluate Patent Validity and Seek Professional Advice,"Ensure you have a valid reasons for suggesting that a patent is invalid, such as a lack of novelty or inventive step (

section 7

 of the patents act), or a lack of support or enablement (

sections 40(2)(a), 40(3))

.
Supporting evidence (if any) - such as evidence of 

prior art

 existing before the 

priority date

 of the patent, which that may invalidate the patent.
Completed the relevant forms from the IPA website 

Request A Re-examination Of A Patent | IP Australia
Before you take any action, you should consider whether you need legal or professional advice specific to your situation. It is important to know what rights you have, what remedies are open to you, and the cost and likelihood of success. IP Australia provides information on

getting professional assistance with your IP

 . In addition, the Institute of Patent and Trade Mark Attorneys Australia (IPTA) offers free

30 minute consultations with an attorney

 ."
D1018,,Consult an IP Lawyer,"Here are some things you might consider before you proceed with legal action in a

 

patent matter.
Find an IP lawyer for advice and representation

Court proceedings can be an expensive, time-consuming, stressful, complicated process that can have a serious impact on you and your business. It is recommended that you seek legal advice before deciding whether to start a legal claim and to assist you if you decide to make one.
Consider your goals before deciding to start a legal claim

Going to court is usually a last resort. You should carefully consider what you are seeking to achieve and whether bringing a legal claim is your best option. An IP lawyer can help you to consider your best option to achieve your goals and give you advice on likely outcomes.
Consider the impact of publicity

Court proceedings are usually public. You should consider what impact this may have on your business. Unless they're covered by a confidentiality order, evidence and documents used in court will also become available to the public and no longer be confidential.
Gather all your documents

Before seeking legal advice, it can be helpful to collect any documents like reports, contracts, licences or correspondence that you think might be relevant to your claim. You can give these to your lawyer to review."
D1017,,Provide Patent Details,"Details of the patent you want to oppose, including the patent number and patent holder."
D1017,,Identify Grounds for Patent Opposition,"Grounds for opposition, including (but not limited to), a lack of support or enablement(sections 40(2)(a), 40(3)of thepatents act), novelty or inventive step(section 7of thepatents act)."
D1017,,Prepare and Review Evidence,"In cases where you are using evidence tosupport your opposition, that evidence must be collected and prepared. Refer toEvidence In Oppositions And PBR Objections | IP Australiafor more information about evidence.
Before you take any action, you should consider whether you need legal or professional advice specific to your situation. It is important to know what rights you have, what remedies are open to you, and the cost and likelihood of success. IP Australia provides information on"
D1017,,Seek IP Assistance,getting professional assistance with your IP
D1017,,Consult IPTA Resources,". In addition, the Institute of Patent and Trade Mark Attorneys Australia (IPTA) offers free"
D1017,,Schedule Consultation,30 minute consultations with an attorney
D1017,,End the process,.
C1007,,Explore IP Licensing Steps,"To explore licensing your IP, consider taking these steps before beginning:"
C1007,,Validate IP Rights,Confirm your IP- Make sure your IP rights are valid and enforceable.
C1007,,Identify Licensing Details,"Gather evidence and factual details- Identify what you're licensing, including registration numbers, territories and any existing rights or restrictions."
C1007,,Identify Negotiation Parties,"Identify relevant parties- Search out and understand who you plan to negotiate with, and whether others (such as intermediaries) may need to be involved."
C1007,,Understand Licensing Rules,"Review applicable rules- Understand legal principles around licensing, especially any obligations to maintain control of your IP and speak to an IP professional if you need assistance."
C1007,,Consult Professional Services,Consider where you may use the assistance of various professional servicesand contact them to understand costs and other considerations before deciding.
D1001,,Review IP Enforcement Options,Review IP First Response resources to understand all your enforcement options. This helps you make an informed choice to weigh other options.
D1001,,Evaluate Costs and Timelines,Calculate the potential costs and timeline for different options actions.
D1001,,Consult an IP Professional,Identify which type of IP professional you may choose to consult and consider having initial conversations to understand their services and approach.
B1009,,Challenge a Patent's Validity,"Ensure you have a valid reasons for suggesting that a patent is invalid, such as a lack of novelty or inventive step (

section 7

 of the patents act), or a lack of support or enablement (

sections 40(2)(a), 40(3))

.
Supporting evidence (if any) - such as evidence of 

prior art

 existing before the 

priority date

 of the patent, which that may invalidate the patent.
Completed the relevant forms from the IPA website 

Request A Re-examination Of A Patent | IP Australia
Before you take any action, you should consider whether you need legal or professional advice specific to your situation. It is important to know what rights you have, what remedies are open to you, and the cost and likelihood of success. IP Australia provides information on

getting professional assistance with your IP

 . In addition, the Institute of Patent and Trade Mark Attorneys Australia (IPTA) offers free

30 minute consultations with an attorney

 ."
D1084,,Consider Before Legal Action,There are some things you might consider before you proceed with legal action in a PBR matter.
D1084,,Consult an IP Lawyer,"Find an IP lawyer for advice and representationCourt proceedings can be an expensive, time-consuming, stressful, complicated process that can have a serious impact on you and your business. It is recommended that you seek legal advice before deciding whether to start a legal claim and to assist you if you decide to make one."
D1084,,Evaluate Your Goals,Consider your goals before deciding to start a legal claimGoing to court is usually a last resort. You should carefully consider what you are seeking to achieve and whether bringing a legal claim is your best option. An IP lawyer can help you to consider your best option to achieve your goals and give you advice on likely outcomes.
D1084,,Evaluate Publicity Impact,"Consider the impact of publicityCourt proceedings are usually public. You should consider what impact this may have on your business. Unless they're covered by a confidentiality order, evidence and documents used in court will also become available to the public and no longer be confidential."
D1084,,Organize Relevant Documents,"Gather all your documentsBefore seeking legal advice, it can be helpful to collect any documents like reports, contracts, licences or correspondence that helps to show what was sold, grown or distributed. It can be beneficial to organise these materials so that they show dates, sources, and how the suspected copying connects back to your variety, as courts often rely on orderly, traceable evidence. You can give these to your lawyer to review."
B1020,,Submit Non-Use Application Form,"The application for removal/cessation of protection for non-use must be filed in an approved form. Complete 

this form

 when applying to have a registered trade mark removed from the register for non-use. This form is also used when applying for the cessation of protection of a protected international trade mark for non-use.
You can submit the completed form on the 

Manage my IP page

 of the IP Australia website."
B1016,,Consult International IP Office Directory,"The steps and procedures involved in how to respond to accusations of IP infringement from overseas would vary heavily depending on individual circumstances, laws and industry practices in the relevant overseas jurisdiction.
Some international IP offices provide information on enforcement in their jurisdictions and may have services to help you with dispute resolution or enforcement. You can find out the relevant IP office and what services they provide using the 

Directory of Intellectual Property Offices

."
D1014,,Choose the Right ADR Provider,"Before you engage in an ADR process, you should think about what type of ADR process would best suit your needs and find the appropriate ADR provider for the chosen process. There is a wide range of ADR providers, ranging from government and public-funded bodies to private practitioners. Here's a list of directories and ADR providers that may assist you in finding what type of ADR is most suitable for your case and the facilitator/s you would like to engage:"
D1014,,Access the Dispute Resolver Directory,The Resolution Institute's Dispute Resolver Directory list
D1014,,Access Dispute Resolution Resources,"The Australian Small Business and Family Enterprise Ombudsman (ASBFEO)provides small business and family enterprises with information about dispute resolution options, access to mediation and alternative dispute resolution processes."
D1014,,Utilize WIPO's Dispute Resolution Services,"The World Intellectual Property Organization's (WIPO) Arbitration and Mediation Centeroffers mediation, arbitration and expert determination to enable private parties to settle their international commercial disputes"
D1014,,Visit the Australian Centre for International Commercial Arbitration,The Australian Centre for International Commercial Arbitration (ACICA)
D1014,,Identify the Australian Disputes Centre,The Australian Disputes Centre (ADC)
D1014,,Seek Legal Advice,"Australian Copyright Counciloffers no-cost online legal advice for professional creators, arts organisations, affiliated organisations and educations institutions and libraries.
You can also seek help from IP professionals for advice on whether ADR would be suitable for your situation and to represent you throughout an ADR process. You can find a qualified IP attorney to assist you at:"
D1014,,Locate an IP Attorney,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board
D1014,,End the process,.
