Service Name,UDID,Diff Check Results,Field Path,Original Placeholder,Context Snippet,Generated Value
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Learning more about IPand the specific IP type at the centre of the dispute. Having some basic knowl,Understand the IP Type
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Researching what the person accusing you of IP infringement is doing in the market (including where ,Research Accuser's Market Activities
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,The Law Society of NSW,Identify the Law Society
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Law Institute Victoria,Join the Law Institute
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,Queensland Law Society,Identify the organization
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,The Law Society of Western Australia,Identify the Law Society
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,The Law Society of South Australia,Consult the Law Society
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[8].name,xXx_PLACEHOLDER_xXx,The Law Society of Tasmania,Join the Law Society
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[9].name,xXx_PLACEHOLDER_xXx,Law Society Northern Territory,Join the Law Society
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[10].name,xXx_PLACEHOLDER_xXx,"The Law Society of the ACT
To find a registered Australian trade marks or patent attorney, you can s",Search for a Registered Attorney
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[11].name,xXx_PLACEHOLDER_xXx,Trans-Tasman IP Attorneys Board directory: Find an IP attorney or firm | Trans-Tasman IP Attorneys B,Choose an IP Attorney
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[12].name,xXx_PLACEHOLDER_xXx,Ask for recommendations from other business owners or members of your industry association.,Seek Recommendations
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[13].name,xXx_PLACEHOLDER_xXx,Ask how much you'll be charged and how long the service will take.,Inquire About Cost and Duration
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[14].name,xXx_PLACEHOLDER_xXx,Don't assume that all IP lawyers or IP attorneys specialise in the type of IP that you have.,Verify IP Lawyer Specialization
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[15].name,xXx_PLACEHOLDER_xXx,Try to determine if you can establish a trusting relationship. If you don't feel comfortable sharing,Assess Trust and Comfort Level
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[16].name,xXx_PLACEHOLDER_xXx,"If you think you may need to go to court, speak to an IP lawyer rather than an IP attorney.",Consult an IP Lawyer
Register your trade mark,B1005,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"You will need to set up an account with IP Australia's Online Services. There is a 

step-by-step gu",Set up an account with IP Australia's Online Services
Respond to an opposition filed against your trade mark,B1006,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"You can respond to an opposition by submitting a notice of intention to defend on IP Australia's 

O",Submit Notice of Intention to Defend
Respond to an opposition filed against your patent,B1007,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Carefully read the notice of opposition and the grounds raised against your patent.,Review Opposition Notice
Respond to an opposition filed against your patent,B1007,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Consider the assistance of an IP professional - especially if the case is technical or the risk of t,Consult an IP Professional
Respond to an opposition filed against your patent,B1007,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Understand the legal criteria for patentability (e.g. novelty, inventiveness) which is being contest",Review Patentability Criteria
Respond to an opposition filed against your patent,B1007,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Gather evidence and examples that support your case.,Collect Supporting Evidence
Respond to an opposition filed against your patent,B1007,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Keep detailed records of all communication and submissions.,Document Communications and Submissions
Challenge a granted patent ,B1009,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Ensure you have a valid reasons for suggesting that a patent is invalid, such as a lack of novelty o",Prepare Patent Invalidity Case
"Report a scam, fraud or risk to public interest",B1010,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"If you believe that the other party is fraudulently claiming that you have infringed their IP, you c",Report IP Fraud and Scams
De-escalate and resolve disputes via conversation,B1012,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Before you engage in a conversation with the other party, consider gathering:",Gather Information
De-escalate and resolve disputes via conversation,B1012,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"A copy of the cease-and-desist letter or the request, including deadlines and requested actions.",Provide Documentation
De-escalate and resolve disputes via conversation,B1012,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Evidence of your product, branding or content development timeline and any prior rights you may hold",Provide Development Timeline Evidence
De-escalate and resolve disputes via conversation,B1012,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"Documents relating to the relevant IP right's scope (for registered IP rights, this would include re",Verify IP Ownership and Scope
De-escalate and resolve disputes via conversation,B1012,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Contact details for the rights holder or their representative to open dialogue.,Provide contact details
De-escalate and resolve disputes via conversation,B1012,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,"A confidentiality agreement template to protect commercial information during negotiations.
If you c",Engage in Alternative Dispute Resolution
De-escalate and resolve disputes via conversation,B1012,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,Learn more about alternative dispute resolution,Explore Alternative Dispute Resolution
De-escalate and resolve disputes via conversation,B1012,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,.,End the sentence
Respond to an unjustified threat ,B1013,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Consider whether the threat is unjustified
A key starting point can be to check the IP right registr",Assess Threat Validity
Respond to an unjustified threat ,B1013,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,copies of the threat and any related emails or letters,Gather related documents
Respond to an unjustified threat ,B1013,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"evidence of how the threat has affected (or might affect) your business.
Consider getting help from ",Consult an IP Lawyer
Reach an agreement with the accusing party,B1014,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,It's important to get all the factual details right and evaluate the merits of the claims before you,Verify and Evaluate Claims
Reach an agreement with the accusing party,B1014,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,The status and details of the relevant IP in the jurisdiction where the alleged infringement occurre,Verify IP Status and Registrations
Reach an agreement with the accusing party,B1014,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,The identity and contact details of the other party - it's important to make sure you speak to the c,Verify Other Party's Identity and Contact Details
Reach an agreement with the accusing party,B1014,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"Stay calm and professional throughout the conversation, avoiding emotional, accusatory language.",Maintain Composure and Professionalism
Reach an agreement with the accusing party,B1014,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,"Focus on the issues at hand, not the personalities of the other parties involved.",Prioritize Issues Over Personalities
Reach an agreement with the accusing party,B1014,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,"Acknowledge that problems are often caused by misunderstanding or oversight, and that a mutually ben",Recognize Misunderstandings
Reach an agreement with the accusing party,B1014,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,"Be clear on the terms of agreement you may reach with the other party, writing down the agreement in",Document Agreement Details
"Assert your rights, as a response to an accusation  ",B1015,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,The steps you may need to take will largely depend on the exact nature of the infringement issue. Fo,Consult IP First Response or Legal Advisor
"Assert your rights, as a response to an accusation  ",B1015,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Navigator Tool - Suspected Infringement | IP Australia First Response,Submit First Response
"Assert your rights, as a response to an accusation  ",B1015,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board,Locate IP Attorney
"Assert your rights, as a response to an accusation  ",B1015,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Someone is using my IP | IP Australia,Report unauthorized IP usage
"Assert your rights, as a response to an accusation  ",B1015,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,What to consider before taking legal action | IP Australia,Evaluate Legal Action Feasibility
Considerations when responding to international accusations,B1016,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,The steps and procedures involved in how to respond to accusations of IP infringement from overseas ,Consult the Directory of Intellectual Property Offices
Request IP Australia confirms a registered design is valid,B1017,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Registered design number.,Enter design registration number
Request IP Australia confirms a registered design is valid,B1017,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Ability to pay the examination fee.,Pay examination fee
Request IP Australia confirms a registered design is valid,B1017,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Be prepared to respond to an examination report which may require providing additional evidence or s,Respond to Examination Report
Request IP Australia confirms a registered design is valid,B1017,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Consider whether to get help from an IP lawyer or IP attorney.,Consult an IP Professional
Request IP Australia confirms a registered design is valid,B1017,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Keep copies of all correspondence and the certificate of examination.,Retain documentation
Oppose an IP infringement notice from an online marketplace ,B1018,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,A copy of your IP registration or evidence of use.,Provide IP Registration Evidence
Oppose an IP infringement notice from an online marketplace ,B1018,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,The takedown notice or removal email with reference numbers.,Send Takedown Notice
Oppose an IP infringement notice from an online marketplace ,B1018,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Screenshots of the original listing and the allegedly infringing content.,Capture comparison screenshots
Oppose an IP infringement notice from an online marketplace ,B1018,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"Knowledge of each platform's process, for example:Amazon: Using theAccount Health Pageto provide evi",Submit Infringement Counter Notices
Oppose an IP infringement notice from an online marketplace ,B1018,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,"A log of all communications, submissions and platform decisions.",Record communications log
Challenge the registration of a new trade mark to defend your right,B1019,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Read all the information relating totrade mark oppositionandthe formsrequired in the opposition proc,Review Trade Mark Opposition Information
Challenge the registration of a new trade mark to defend your right,B1019,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Monitor theAustralian Trade Mark Search (ATMS)and spot conflicting trade marks within two months of ,Monitor Trade Mark Conflicts
Challenge the registration of a new trade mark to defend your right,B1019,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Gather evidence demonstrating your earlier trade mark use, registration or other legal basis.",Collect Trade Mark Evidence
Challenge the registration of a new trade mark to defend your right,B1019,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Complete and submit online forms: notice of intention to oppose and Statement of Grounds and Particu,Submit Opposition Forms Online
Challenge the registration of a new trade mark to defend your right,B1019,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Budget for official and professional fees.,Allocate Fees Budget
Challenge the registration of a new trade mark to defend your right,B1019,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,"Keep copies of all filings, correspondence and evidence.",Retain documentation
Request IP Australia remove an unused trade mark to defend your right,B1020,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,The application for removal/cessation of protection for non-use must be filed in an approved form. C,Submit non-use removal form
Request confirmation that someone else's registered design is valid,B1021,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Registered design number.,Enter registered design number
Request confirmation that someone else's registered design is valid,B1021,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Ability to pay the examination fee.,Pay Examination Fee
Request confirmation that someone else's registered design is valid,B1021,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Consider whether to get help from an IP lawyer or IP attorney.,Consult an IP Professional
Request confirmation that someone else's registered design is valid,B1021,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Keep copies of all correspondence and the certificate of examination.,Save documentation and certificate copies
Detect and discourage potential infringement in your supply chain,C1002,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,The materials needed for supply chain monitoring would vary depending on the extent of monitoring ac,Gather Supply Chain Monitoring Materials
Detect and discourage potential infringement in your supply chain,C1002,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,A clear inventory of your registered IP rights and key products.,Create IP Inventory
Detect and discourage potential infringement in your supply chain,C1002,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Up‑to‑date supplier and shipment records.,Update records
Detect and discourage potential infringement in your supply chain,C1002,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Up-to-date contact details for all supply chain partners.,Update Partner Contact Information
Detect and discourage potential infringement in your supply chain,C1002,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Written supply agreements specifying IP use permissions and audit rights.,Draft supply agreements
Detect and discourage potential infringement in your supply chain,C1002,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,Procedures for staff to flag unusual orders or routes.,Flag Unusual Orders
Detect and discourage potential infringement in your supply chain,C1002,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,"Monitoring tools such as order checks, sampling protocols, web alerts, tracking codes, barcodes, ser",Implement Monitoring Tools
Detect and discourage potential infringement in your supply chain,C1002,Pass,root.mainEntity[1].step[7].name,xXx_PLACEHOLDER_xXx,"Secure system for storing evidence (photos, screenshots, audit reports).",Store Evidence Securely
Identify and track your competitors' patents and activity,C1003,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Confirm your IP and market: Know what product or service you want to launch or protect and in which ,Verify IP and Market Regions
Identify and track your competitors' patents and activity,C1003,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Gather product or brand details: Describe your offering clearly to guide the search, particularly es",Identify Key Product Features
Identify and track your competitors' patents and activity,C1003,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Decide on search scope: Domestic only, or international? Patent or trade mark focused?",Define Search Parameters
Identify and track your competitors' patents and activity,C1003,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Select tools or professionals: Choose between do it yourself search tools or paid services.,Choose Tools or Services
Identify and track your competitors' patents and activity,C1003,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Understand search limitations: Results may not be legally definitive; freedom to operate is not a gu,Acknowledge Search Limitations
Identify and track your competitors' patents and activity,C1003,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,Consider advice: You may wish to seek an FTO opinion from a qualified IP professional.,Seek FTO Opinion
Identify and track your competitors' patents and activity,C1003,Pass,root.mainEntity[1].step[6].name,xXx_PLACEHOLDER_xXx,"Keep records: Retain copies of search results, interpretations, and advice received.",Retain Documentation
Use your trademark prominently to build recognition and protection,C1004,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"A clear, preferred presentation of your trade mark whether that is word, image, combination of word ",Present Your Trade Mark
Use your trademark prominently to build recognition and protection,C1004,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Basic rules covering the use of colours, fonts, size and placement of key elements in your trade mar",Define Trademark Design Guidelines
Use your trademark prominently to build recognition and protection,C1004,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Routine checks of public use and finding inconsistencies.,Conduct Public Use Audit
Use your trademark prominently to build recognition and protection,C1004,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"Records of dated examples (screenshots, packaging, adverts) showing correct use.",Collect dated evidence
"CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS",C1005,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Clear scope and purpose for the audit.,Define Audit Scope and Purpose
"CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS",C1005,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Copies of registrations, applications, licences and confidentiality agreements.",Gather documentation copies
"CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS",C1005,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Evidence of creation dates, market use and renewal deadlines.",Document key dates
"CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS",C1005,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"Access to branding, technical and commercial records.",Access Records
"CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS",C1005,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,"Secure system (like a spreadsheet or software) to record your findings.
You may also consider obtain",Record Findings Securely
Help customers differentiate between your products and lookalikes  ,C1006,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,A clear understanding of what makes your product or brand distinctive.,Identify Unique Selling Points
Help customers differentiate between your products and lookalikes  ,C1006,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Knowledge of your IP rights and what aspects are protected.,Understand Your IP Rights
Help customers differentiate between your products and lookalikes  ,C1006,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Customer touchpoints where educational messages can be placed (for example, website, packaging, soci",Identify Educational Touchpoints
Help customers differentiate between your products and lookalikes  ,C1006,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Optional: Access to an IP professional to help understand what aspects of your business are protecte,Consult IP Professional
Help customers differentiate between your products and lookalikes  ,C1006,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Optional: Marketing or design support to build customer-friendly materials.,Add Marketing or Design Support
Explore opportunities by licensing  your IP,C1007,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"To explore licensing your IP, consider taking these steps before beginning:",Prepare for IP Licensing Exploration
Explore opportunities by licensing  your IP,C1007,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Confirm your IP- Make sure your IP rights are valid and enforceable.,Verify IP Rights
Explore opportunities by licensing  your IP,C1007,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Gather evidence and factual details- Identify what you're licensing, including registration numbers,",Identify Licensing Details
Explore opportunities by licensing  your IP,C1007,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"Identify relevant parties- Search out and understand who you plan to negotiate with, and whether oth",Identify Relevant Negotiation Parties
Explore opportunities by licensing  your IP,C1007,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,"Review applicable rules- Understand legal principles around licensing, especially any obligations to",Understand Licensing Obligations
Explore opportunities by licensing  your IP,C1007,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,Consider where you may use the assistance of various professional servicesand contact them to unders,Consult Professional Services
Plan how IP disputes will be handled via contracts ,C1009,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,A contract (existing or planned) where IP matters may arise.,Identify IP-Related Contracts
Plan how IP disputes will be handled via contracts ,C1009,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,It will be useful to have a basic understanding ofalternative dispute resolution (ADR) options.,Understand ADR Options
Plan how IP disputes will be handled via contracts ,C1009,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,The WIPO Center is available to assist with free procedural advice in generating the clauses:arbiter,Contact WIPO for Procedural Advice
Plan how IP disputes will be handled via contracts ,C1009,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"Optional: Support from an IP attorney or legal expert, especially for high-value or complex agreemen",Consult Legal Expert
Inform online platforms that you have IP rights,C1010,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"For most platforms, you would need a proof of a registered right (registration number and certificat",Provide Proof of Registered Right
Inform online platforms that you have IP rights,C1010,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,A customer account on each marketplace and verified contact details.,Create and Verify Marketplace Accounts
Inform online platforms that you have IP rights,C1010,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Clear product images and descriptions that show how the IP is used.,Showcase Product Usage
Inform online platforms that you have IP rights,C1010,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"A list of authorised sellers, if any, so the platform doesn't accidentally remove legitimate listing",Identify Authorized Sellers
Inform online platforms that you have IP rights,C1010,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,Time allocated to review alerts and confirm or dispute flagged listings.,Review Alerts
Check your idea against existing patents.,C1011,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"A clear description of your product, process or innovation.",Describe Your Offering
Check your idea against existing patents.,C1011,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,Basic knowledge of what a patent is and what it protects.,Understand Patent Basics
Check your idea against existing patents.,C1011,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Access to patent databases such asAusPat,EspacenetorThe Lens.",Access Patent Databases
Check your idea against existing patents.,C1011,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Optional: A qualified patent attorney to perform a professional search and interpret results.,Consult a Patent Attorney
Check your idea against existing patents.,C1011,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,A decision on whether you want to search only in Australia or also internationally.,Choose Search Region
CHOOSING A ‘QUALIFIED PERSON’ (QP) to conduct growing trials  ,C1012,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Check theQualified Persons Directoryfor consultant QPs.,Consult the QPs Directory
CHOOSING A ‘QUALIFIED PERSON’ (QP) to conduct growing trials  ,C1012,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Written agreement covering the QP's scope, fees and timelines.",Draft the agreement
CHOOSING A ‘QUALIFIED PERSON’ (QP) to conduct growing trials  ,C1012,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Trial site, reference varieties and data-collection plan that meets PBR guidelines.",Define Trial Site and Plan
CHOOSING A ‘QUALIFIED PERSON’ (QP) to conduct growing trials  ,C1012,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"(optional) To become a QP: up-to-date résumé, three referees, completed online training and accredit",Submit QP Application Materials
CHOOSING A ‘QUALIFIED PERSON’ (QP) to conduct growing trials  ,C1012,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,"Keep copies of all trial data, photographs and correspondence.",Archive trial documentation
Monitor the trade mark register and market for competitor activity,C1013,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Australian Trade Mark Search(ATMS) andHELPpage to familiarise yourself with how the ATMS search work,Explore ATMS and HELP Page
Monitor the trade mark register and market for competitor activity,C1013,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Current trade mark details (e.g. registration number, priority date and its registration status).",Enter trade mark details
Monitor the trade mark register and market for competitor activity,C1013,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,Criteria for what you will consider as 'too close' to your brand. Check outInfringement 101 | IP Aus,Define Infringement Criteria
